'Configuration Parameter:;"Decimal separator: , List separator: ; ";Layout Version V6.2;WinCC Version K7.0.3.5
'Var Version V1.0;
'Varname;Conn;Group;Spec;Flag;CTyp;CLen;CPro;CFor;P1;P2;P3;P4;P5;P6;L1;L2;L3;L4;L5;L6;L7;L8;LF1;LF2;LF3;LF4;SCF;SPU;SPO;SVU;SVO;Creator-ID
ZRU6_ZRU6_EvalPar_Cell1_PM130_Phase_Shift_Ub;ZRU6_ZRU6;EvalPar_ZRU6_ZRU6;"3x400295";0;8;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ZRU6_ZRU6_EvalPar_Cell1_PM130_Phase_Shift_Uc;ZRU6_ZRU6;EvalPar_ZRU6_ZRU6;"3x400297";0;8;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ZRU6_ZRU6_EvalPar_Cell1_PM130_Mean_Ia;ZRU6_ZRU6;EvalPar_ZRU6_ZRU6;"3x400299";0;8;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ZRU6_ZRU6_EvalPar_Cell1_PM130_Mean_Ib;ZRU6_ZRU6;EvalPar_ZRU6_ZRU6;"3x400301";0;8;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ZRU6_ZRU6_EvalPar_Cell1_PM130_Mean_Ic;ZRU6_ZRU6;EvalPar_ZRU6_ZRU6;"3x400303";0;8;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ZRU6_ZRU6_EvalPar_Cell1_PM130_P;ZRU6_ZRU6;EvalPar_ZRU6_ZRU6;"3x400305";0;8;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ZRU6_ZRU6_EvalPar_Cell1_PM130_Q;ZRU6_ZRU6;EvalPar_ZRU6_ZRU6;"3x400307";0;8;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ZRU6_ZRU6_EvalPar_Cell1_PM130_S;ZRU6_ZRU6;EvalPar_ZRU6_ZRU6;"3x400309";0;8;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ZRU6_ZRU6_EvalPar_Cell2_PM130_Ia;ZRU6_ZRU6;EvalPar_ZRU6_ZRU6;"3x400313";0;8;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ZRU6_ZRU6_EvalPar_Cell2_PM130_Ib;ZRU6_ZRU6;EvalPar_ZRU6_ZRU6;"3x400315";0;8;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ZRU6_ZRU6_EvalPar_Cell2_PM130_Ic;ZRU6_ZRU6;EvalPar_ZRU6_ZRU6;"3x400317";0;8;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ZRU6_ZRU6_EvalPar_Cell2_PM130_Ua;ZRU6_ZRU6;EvalPar_ZRU6_ZRU6;"3x400319";0;8;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ZRU6_ZRU6_EvalPar_Cell2_PM130_Ub;ZRU6_ZRU6;EvalPar_ZRU6_ZRU6;"3x400321";0;8;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
